"","word","idf","word","n"
"169","nd",3.99460429419643,"th",146
"170","movement",4.00187705352551,"word",146
"171","condition",4.00920309361758,"condition",145
"172","give",4.00920309361758,"his",145
"173","challenge",4.02401817940272,"first",144
"174","around",4.02401817940272,"group",144
"175","next",4.03150885113188,"speak",144
"176","th",4.03905605676726,"via",144
"177","hear",4.03905605676726,"strength",143
"178","word",4.04666065615248,"challenge",141
"179","even",4.04666065615248,"give",137
"180","primary",4.05432352889805,"human",137
"181","focus",4.06204557499196,"next",137
"182","post",4.06204557499196,"story",137
"183","article",4.06204557499196,"article",136
"184","own",4.06204557499196,"even",136
"185","group",4.06204557499196,"post",136
"186","through",4.06982771543402,"around",135
"187","still",4.06982771543402,"right",134
"188","show",4.06982771543402,"focus",133
"189","education",4.07767089289504,"hear",133
"190","discuss",4.08557607240216,"own",132
"191","story",4.09354424205133,"show",131
"192","embrace",4.1015764137486,"social",131
"193","such",4.1015764137486,"through",131
"194","amaze",4.10967362398122,"primary",130
"195","try",4.11783693462038,"still",130
"196","right",4.12606743375689,"try",130
"197","where",4.12606743375689,"education",129
"198","inclusive",4.12606743375689,"research",129
"199","research",4.13436623657159,"such",129
"200","parent",4.13436623657159,"amaze",128
