"tweet_id","text"
1501965934453534720,"test expect minute dementia not_healthy embrace neurodiversity hope manage condition"
1502064383517671424,"fascinate comment sparkle queen accommodation"
1502236098143166464,"week plan community partnership event prep gender pay gap amp diversity survey datum middle mgmt amp staff learn team mate slack channel plot diversity recruitment initiative engineer"
1502261821797019648,"week scott soph amp mia greenbank college talk people employment project employment team email infoorguk call"
1502286745706156032,"national career week opportunity shine spotlight solent employment scheme support neurodivergent people employment"
1502322485794160640,"superb campaign idea people child parent honourbased violence word ad social medium channel utilise colour publicity material cite vital"
1502328539974098944,"girl mask defy stereotypical autistic behavior clinician carefully listen patient not_miss opportunity provide support"
1502337725403435008,"not_diagnose neurodiversity train job meet single criterion adult female adhd explain door child diagnose"
1502343641410514944,"neurodiversity neurodivergence book feature character neurological variance difference autism dyslexia adhd addition"
1502344298385350656,"deadline apply week neurodiversity program offer numb job opportunity view apply march"
1502436378600259584,"people upset amp abusive recently associate autism rainbow infinity insist neurodiversity broadly autism specific gold gold au periodic table"
1502585250739888128,"season memorable contestant lizzie acker film covid bubble represent neurodiversity world chat"
1502741191120629760,"autism diagnosis son pay privately school accept standard nhs diagnosis wait continue neurodiversity not_treat urgency"
1502978974653333504,"fascinate article autistic child"
1503008014827241472,"son decide time world understand autistic mind legitimate term write robert huber feel box disability punch"
1503064691324727296,"book list feature picture book middlegrade book center experience autistic individual child adhd neurodiverse character read"
1503105460819402752,"share freelance write opportunity newsletter tuesday havent late assume public neurodiversity support center pay structure outline pitch page"
1503115403832094720,"neurodiversity celebration week march check free virtual event"
1503133945981984768,"organ transplant autistics line"
1503243061794684928,"numb neurodivergent individual enter workforce increasesemployers respond grow neurodiversity employment employee shareholder customer"
1503286090907762688,"accord igdaa datum dev disable accord ukies whuch exclude neurodiversity amp mental health ukie datum dev equate aaas disable people"
1503325356396355584,"catch recent webinars focus neurodiversity music profession neurodiverse journey music teach child autism spectrum"
1503406953405587456,"student heres weekly update happen campus week episode inspirational womens week house enrichment neurodiversity week solidarity ukraine thursday march"
1503419388157992960,"celebration continue week bevy event attend neurodiversity superpower join zoom pm tonight book"
1503422099075051520,"celebrate neurodiversity"
1503431068975783936,"east berkshire neurodiversity network meet wednesday march network aim connect people improve understand neurodiversity support neurodivergent child people"
1503436658301149184,"feel world neurodiversity advocacy cliquey expect"
1503451829836808192,"fit symbol rainbow infinity symbol widely embrace neurodiversity awareness"
1503483718324920320,"neurotypical easy not_see invisible disability neurodiversity"
1503702152342028288,"pretend understand neurodiversity realise not_always convenient flexible accommodate unbelievably tire"
1.503702995565e+18,"proud fantastic project celebrate neurodiversity raise awareness challenge stigma discrimination video"
1503728495247208448,"news country embrace neurodiversity chile constitutional convention article neurodiversity add draft overwhelmingly positive vote"
1503740310010023936,"week join partnership webinar celebrate neurodiversity healthcare march pm book"
1503748788703408128,"neurodiversity screen industry foster workplace culture diversity equity inclusion perfect producer director company leader hod manager supervisor team apply"
1503763013140197376,"brain charity hold session neurodiversity step strawberry field event march neurodiversity train"
1503796350437236736,"delight craes join panel discussion neurodiversity transition education friday march gmt register event"
1503824338541154304,"not_a king crimson fanatic dear lord not_wait documentary psst fripp set radar sayin"
1503847010901798912,"worth celebrate move neurodiversity awareness"
1503875580776701952,"worth celebrate move neurodiversity awareness"
1503940186501046272,"reference life advice story datum conclude damage wellbeing live hide"
1503961763599065088,"address gap neurodiversity"
1504049879286431744,"week mark worldwide initiative aim transform neurodivergent individual perceive support involve activity event"
1504095325530857472,"host workshop design understand neurodiversity overcome potential learn barrier lead improve engagement successful outcome progression visit"
1504097156222885888,"return brilliant piece experience neurodiversity incredible power authentic representation story"
1504101695185371136,"week support launch neurodiversity business constituent time neurodivergent talent not_agree dan week launch parliament not_be proud"
1504138266420908032,"march join individual organisation globe participate neurodiversity celebration week selection event activity relevant resource"
1504155361795792896,"lad visit highland coo"
1504169880928591872,"sue sue marvellous colleague focus neurodiversity education mention lot talk"
1504169884401516544,"focus educational inequality learn diversity adopt neurodiversity framework"
1504169888121860096,"finally sue start lecture highlight cochairing international neurodiversity conference march mind bring edinburgh international conference centre online"
1504169900025253888,"neurodiversity paradigm replace core deficit model neurodiversity human vary brain information process behave neurodiversity explain individual labelledgroup difference"
1504169901589774336,"sue highlight common misunderstanding neurodiversity"
1504169903913283584,"neurodiversity not_a synonym special educational disability send rare acknowledge avoid change language not_action fail deliver inclusive acknowledge neurodiversity"
1504169905557577728,"neurodiversity not_only focus strength talent individual"
1504169907101093888,"neurodiversity paradigm not_reject concept disability"
1504169908682297344,"neurodiversity require rethink school neurodiversity affirmative school follow"
1504169916869525504,"create neurodiversity affirmative school sue highlight learn neurodiversity school project run aim create evaluate teach neurodiversity class"
1504170122587611136,"sue team teach neurodiversity reflect diversity experience provide alternative narrative school hard normalise concept provide answer reinforce privacy"
1504170609034551296,"finish sue reiterate home message autism understand neurodiversity paradigm apply neurodiversity school require shift perspective not_just language"
1504170611379167232,"neurodiversity affirmative school expect diversity teach selfadvocacy fight stigma profile individual not_the label collaborative coproduced researchbased resource join force campaign systemic change"
1504172238374944768,"final attend lecture crae not_be annual lecture youtube channel download slide"
1504185768398495744,"school source child extreme anxiety meltdown"
1504187255501508608,"attend college college grad wautism underemployed unemployed unacceptable listen late podcast practical advice flip statistic head"
1504215937364504576,"premium autotext macro simplify write task technology"
1504221438072532992,"sound cold not_he friend peculiar people neurodiversity not_desire flatmate interim solution city london rent love amp"
1504345274445049856,"inclusive school support neurodiverse hard"
1504383071591747584,"create talk productivity lens favorite time domain"
1504444193623715840,"not_regret asd not_even bite superpower grateful love piece dr camilla yang experience neurodiversity"
1504511161470967808,"neurodiverse bunch world productive"
1504549892416581632,"attend college college grad wautism underemployed unemployed unacceptable listen late podcast practical advice flip statistic head"
1504612592693792768,"putting weird bin obsession obsession bin neurodiversity swear bin catch guess"
1504750718116417536,"support neurodiversity celebration week neurodiversity celebration week worldwide initiative challenge stereotype misconception neurological difference"
1504839325636349952,"week join thursday march online session joanne day senior lecturer nurse education speak neurodiversity live experience book email staffwellbeinganddevelopmentacuk"
1504850252523839488,"thursday march pm join lead access consultant architect jane simpson helen kane jean hewitt online seminar share architect neurodiversity design"
1504895411307356160,"join pacey live webinar night hope speak dr pooja sharma neurodiversity not_worry miss catch"
1505014290469822464,"time moment familiarize unseen disability amp frustrate disability form"
1505191115464613888,"lot not_really sense favourite love piece dr camilla pang experience neurodiversity top tip support neurodiverse child"
1505382463694319616,"visual thinker not_have photographic memory nor_be head static gallery sensibly collect brain curate easy sense not_linear fluid flexible"
1505388167977115648,"diagnose compassionate halve distress occasion gift humanity"
1505413538004701184,"not_expect prepandemic level productivity traumatise population write lead undo hustle culture funny sigma male grindset meme scope slow productivity hustle amp neurodiversity"
1505471918438236160,"tomorrow start neurodiversity celebration week worldwide initiative challenge stereotype misconception learn disability include dyslexia ahead speak dyslexia campaign"
1505603680531230720,"bravo club invite kid design tshirts specifically not_to puzzle piece people associate autism speak flaw incomplete"
1505629754321481728,"attend college college grad wautism underemployed unemployed unacceptable listen late podcast practical advice flip statistic head"
1505725928596459520,"jim hogan leader disability alliance amp neurodiversity advocate share difference raise hand feature suggest text feature"
1505752366007689216,"miss webinar support developmental child neurodiversity watch record download slide website"
1505757288082063360,"neurodiversity celebration week global initiative aim world understand celebrate talent neurodiverse mind people heart county manukau health proud par"
1505816485666512896,"neurodiversity celebration week weeklong event design provide opportunity people learn neurodiversity neurodiverse people develop positive perception unique neurodiverse trait skill"
1505816684329852928,"week neurodiversity celebration week opportunity pegasus scheme scheme people hard communicate registration free"
1505816924588244992,"support neurodiversity celebration week march purpose world understand celebrate talent neurodiverse mind"
1505821764835762176,"mark day neurodiversity celebration week empower individual challenge stereotype misconception neurological difference"
1505827579718156288,"campaign universal screen dyslexia primary school teacher train neurodiversity amp support delight meet minister commit identification amp teacher train"
1505827804822319104,"support neurodiversity celebration week start worldwide initiative challenge stereotype misconception neurological difference information"
1505831581621051392,"celebrate neurodiversity support staff disability support staff aim create neuroinclusive environment mind thrive"
1505831604257763328,"support numerous event week include webinars panel discussion event aim educate encourage conversation neurodiversity"
1505831760030015488,"support numerous event week include webinars panel discussion event aim educate encourage conversation neurodiversity"
1505842834749992960,"happy join individual organisation world highlight importance neurodiversity host support event share relevant material improve understand"
1505843910924386304,"people brain function learn amp process information week aim increase awareness understand educate employee create neuroinclusive team workplace"
1505844290265784320,"join join rest world challenge stereotype misconception neurodiversity check event plan week learn share"
1505844649151369216,"neurodiversity celebration week myth bust"
