end,start,tweet_count
2022-01-02T00:00:00.000Z,2022-01-01T00:00:00.000Z,291
2022-01-03T00:00:00.000Z,2022-01-02T00:00:00.000Z,291
2022-01-04T00:00:00.000Z,2022-01-03T00:00:00.000Z,1377
2022-01-05T00:00:00.000Z,2022-01-04T00:00:00.000Z,2334
2022-01-06T00:00:00.000Z,2022-01-05T00:00:00.000Z,681
2022-01-07T00:00:00.000Z,2022-01-06T00:00:00.000Z,495
2022-01-08T00:00:00.000Z,2022-01-07T00:00:00.000Z,439
2022-01-09T00:00:00.000Z,2022-01-08T00:00:00.000Z,313
2022-01-10T00:00:00.000Z,2022-01-09T00:00:00.000Z,421
2022-01-11T00:00:00.000Z,2022-01-10T00:00:00.000Z,458
2022-01-12T00:00:00.000Z,2022-01-11T00:00:00.000Z,545
2022-01-13T00:00:00.000Z,2022-01-12T00:00:00.000Z,571
2022-01-14T00:00:00.000Z,2022-01-13T00:00:00.000Z,535
2022-01-15T00:00:00.000Z,2022-01-14T00:00:00.000Z,518
2022-01-16T00:00:00.000Z,2022-01-15T00:00:00.000Z,281
2022-01-17T00:00:00.000Z,2022-01-16T00:00:00.000Z,303
2022-01-18T00:00:00.000Z,2022-01-17T00:00:00.000Z,518
2022-01-19T00:00:00.000Z,2022-01-18T00:00:00.000Z,632
2022-01-20T00:00:00.000Z,2022-01-19T00:00:00.000Z,733
2022-01-21T00:00:00.000Z,2022-01-20T00:00:00.000Z,686
2022-01-22T00:00:00.000Z,2022-01-21T00:00:00.000Z,697
2022-01-23T00:00:00.000Z,2022-01-22T00:00:00.000Z,381
2022-01-24T00:00:00.000Z,2022-01-23T00:00:00.000Z,304
2022-01-25T00:00:00.000Z,2022-01-24T00:00:00.000Z,647
2022-01-26T00:00:00.000Z,2022-01-25T00:00:00.000Z,646
2022-01-27T00:00:00.000Z,2022-01-26T00:00:00.000Z,706
2022-01-28T00:00:00.000Z,2022-01-27T00:00:00.000Z,634
2022-01-29T00:00:00.000Z,2022-01-28T00:00:00.000Z,576
2022-01-30T00:00:00.000Z,2022-01-29T00:00:00.000Z,433
2022-01-31T00:00:00.000Z,2022-01-30T00:00:00.000Z,456
2022-02-02T00:00:00.000Z,2022-02-01T00:00:00.000Z,496
2022-02-03T00:00:00.000Z,2022-02-02T00:00:00.000Z,639
2022-02-04T00:00:00.000Z,2022-02-03T00:00:00.000Z,753
2022-02-05T00:00:00.000Z,2022-02-04T00:00:00.000Z,575
2022-02-06T00:00:00.000Z,2022-02-05T00:00:00.000Z,375
2022-02-07T00:00:00.000Z,2022-02-06T00:00:00.000Z,435
2022-02-08T00:00:00.000Z,2022-02-07T00:00:00.000Z,760
2022-02-09T00:00:00.000Z,2022-02-08T00:00:00.000Z,988
2022-02-10T00:00:00.000Z,2022-02-09T00:00:00.000Z,935
2022-02-11T00:00:00.000Z,2022-02-10T00:00:00.000Z,541
2022-02-12T00:00:00.000Z,2022-02-11T00:00:00.000Z,672
2022-02-13T00:00:00.000Z,2022-02-12T00:00:00.000Z,423
2022-02-14T00:00:00.000Z,2022-02-13T00:00:00.000Z,409
2022-02-15T00:00:00.000Z,2022-02-14T00:00:00.000Z,504
2022-02-16T00:00:00.000Z,2022-02-15T00:00:00.000Z,577
2022-02-17T00:00:00.000Z,2022-02-16T00:00:00.000Z,626
2022-02-18T00:00:00.000Z,2022-02-17T00:00:00.000Z,532
2022-02-19T00:00:00.000Z,2022-02-18T00:00:00.000Z,477
2022-02-20T00:00:00.000Z,2022-02-19T00:00:00.000Z,426
2022-02-21T00:00:00.000Z,2022-02-20T00:00:00.000Z,318
2022-02-22T00:00:00.000Z,2022-02-21T00:00:00.000Z,599
